,response latency,response window,reward window,early lick times,stim-evoked lick times,reward-evoked lick times,ITI-evoked lick times,early lick?,trialType,validated outcomes,previous outcome,trial type
0,0.71075,1.28925,1.54685,[],"[0.71075, 0.7496499999999999, 0.8914, 0.9460999999999999, 1.05645, 1.1124, 1.2653499999999998, 1.3212000000000002, 1.4397000000000002, 1.4924999999999997, 1.6178499999999998, 1.67455, 1.7934999999999999, 1.84985]","[2.45315, 2.4775, 2.5695499999999996, 2.6039000000000003, 2.6914999999999996, 2.7291999999999996, 2.82205, 2.8644499999999997, 2.9463, 2.99055, 3.0801, 3.1302000000000003, 3.2176, 3.26865, 3.3554000000000004, 3.4082999999999997, 3.5006000000000004, 3.5512499999999996, 3.64905, 3.7032, 3.79755, 3.8538500000000004, 3.94895]","[4.00885, 4.11385, 4.17045, 4.26815, 4.33285, 4.4369, 4.4884, 4.58425, 4.65325, 4.67025, 4.67745, 4.75275, 4.8133, 4.91515, 4.97515]",False,G,hit,Nan,first HIT
1,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
2,0.0,0.0,0.0,[],[],[],[],False,N,CR,CR,cCATCH
3,0.68065,1.31935,1.7800000000000002,[],"[0.68065, 0.7291500000000002, 0.86035, 0.9066000000000001, 1.0169499999999996, 1.06935, 1.1822499999999998, 1.2348499999999998, 1.3456000000000001, 1.4123999999999999, 1.5460500000000001, 1.5877999999999997, 1.7026500000000002, 1.7488000000000001, 1.8764500000000002, 1.9038000000000004]","[2.2199999999999998, 2.2319000000000004, 2.3390000000000004, 2.36285, 2.4561, 2.4852999999999996, 2.5816, 2.62775, 2.7215, 2.74475, 2.84825, 2.8861499999999998, 2.9805, 3.0199499999999997, 3.1045, 3.1488500000000004, 3.24, 3.2894500000000004, 3.3828500000000004, 3.43105, 3.5328, 3.5828499999999996, 3.6807999999999996, 3.7455499999999997, 3.8335, 3.8865499999999997, 3.9858000000000002]","[4.0379, 4.12955, 4.1876, 4.28695, 4.3515, 4.3695, 4.3766, 4.45635, 4.5074, 4.6129, 4.67305, 4.77965, 4.84685, 4.95375]",False,G,hit,CR,nHIT
4,0.57965,1.42035,1.9249,[],"[0.57965, 0.6067999999999998, 0.75875, 0.7857500000000002, 0.9095499999999999, 0.9548000000000001, 1.0728999999999997, 1.1231, 1.2492999999999999, 1.3000499999999997, 1.4221500000000002, 1.4848999999999997, 1.5824499999999997, 1.6456499999999998, 1.7403500000000003, 1.8008499999999996, 1.9173499999999999, 1.9755500000000001]","[2.0751, 2.13115, 2.3755499999999996, 2.4067999999999996, 2.4889, 2.5339, 2.6201, 2.6603000000000003, 2.7471500000000004, 2.79305, 2.8756000000000004, 2.9312500000000004, 3.01825, 3.0716, 3.15895, 3.2098000000000004, 3.3009000000000004, 3.3553499999999996, 3.4475499999999997, 3.5102, 3.6035000000000004, 3.6593999999999998, 3.76025, 3.8183999999999996, 3.9235499999999996, 3.98245]","[4.0863, 4.13725, 4.24525, 4.3054, 4.39985, 4.4599, 4.5657, 4.6368, 4.7267, 4.83165, 4.91515, 4.9745]",False,G,hit,hit,cHIT
5,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
6,0.0,0.0,0.0,[],[],[],[],False,N,CR,CR,cCATCH
7,0.718,1.282,1.9964500000000005,[],"[0.718, 0.7389999999999999, 0.86395, 0.9165000000000001, 1.0181500000000003, 1.0656999999999996, 1.1734, 1.2241499999999998, 1.3287000000000004, 1.3857, 1.4830500000000004, 1.5390499999999996, 1.6353999999999997, 1.6825, 1.8059500000000002, 1.8588500000000003, 1.9562]","[2.0035499999999997, 2.1031500000000003, 2.15275, 2.38035, 2.41195, 2.49575, 2.53505, 2.6148999999999996, 2.66125, 2.7462, 2.7972, 2.87465, 2.91915, 3.0103999999999997, 3.0581500000000004, 3.1552499999999997, 3.21455, 3.2969999999999997, 3.3574, 3.4468500000000004, 3.4978999999999996, 3.59155, 3.6427500000000004, 3.7354000000000003, 3.7887000000000004, 3.8812499999999996, 3.9361499999999996]","[4.0347, 4.08, 4.18535, 4.23635, 4.329, 4.3821, 4.4835, 4.5402, 4.6504, 4.71205, 4.8051, 4.8748, 4.9904]",False,G,hit,CR,nHIT
8,0.5854499999999998,1.4145500000000002,1.95705,[],"[0.5854499999999998, 0.6139000000000001, 0.7648999999999999, 0.80795, 0.9216500000000001, 0.9649999999999999, 1.0818500000000002, 1.1391499999999999, 1.2502000000000004, 1.3133499999999998, 1.41465, 1.4719499999999996, 1.5758, 1.6319, 1.7310999999999996, 1.7831000000000001, 1.8878500000000003, 1.93975]","[2.0429500000000003, 2.0965, 2.1875, 2.23695, 2.3111499999999996, 2.3439500000000004, 2.4246499999999997, 2.46985, 2.5477, 2.5926, 2.6792, 2.7272999999999996, 2.8057999999999996, 2.8598999999999997, 2.9456499999999997, 2.9954, 3.0824, 3.13385, 3.2215, 3.2733499999999998, 3.3655999999999997, 3.4202000000000004, 3.5185500000000003, 3.5713999999999997, 3.6816500000000003, 3.7344, 3.82395, 3.88025, 3.97785]","[4.03035, 4.13615, 4.1865, 4.2827, 4.34735, 4.4411, 4.49625, 4.5996, 4.6701, 4.76205, 4.83395, 4.8419, 4.86035, 4.93745]",False,G,hit,hit,cHIT
9,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
